id,form,alt_forms,gloss,origin,domain,connector_pref,examples,weight,root_lang,proto_root,ety_desc,ety_lineage,semantic_field,sources
root_suchus,-suchus,,Used to form genus names of extinct crocodyliforms or reptiles resembling crocodiles.,grec,morpheme,,,1.0,grc,,"New Latin, from Ancient Greek Σοῦχος (Soûkhos, “the crocodile god Sobek”), from Egyptian Demotic sbk (“Sobek”), from Egyptian sbk (“Sobek”).",translingue < NL. < grec < egx-dem < egy,morpheme,wiktionary:fr::-suchus#suffix
root_ptera,-ptera,,Used to form words relating to wings,grec,morpheme,,,1.0,grc,,"New Latin, from Ancient Greek πτερά (pterá), plural of πτερόν (pterón, “wing”)",translingue < NL. < grec,morpheme,wiktionary:fr::-ptera#suffix
root_idium,-idium,,"Used to form a taxonomic name, usually of a genus, by suffixation to an existing genus name; a diminutive",grec,"morpheme,neuter",,,1.0,grc,,"From Ancient Greek -ίδιον (-ídion, “diminutive”).",translingue < grec,"morpheme,neuter",wiktionary:fr::-idium#suffix
root_virinae,-virinae,,Used to form taxonomic names of subfamilies of viruses,translingue,"feminine,morpheme,plural",,,1.0,mul,,New Latin Virus + -inae,translingue < NL.,"feminine,morpheme,plural",wiktionary:fr::-virinae#suffix
root_paen,paen-,,Used to form taxonomic names or epithets with the meaning of almost or nearly the term to which it is prefixed,latin,morpheme,,,1.0,la,,Latin paene (“almost”),translingue < latin,morpheme,wiktionary:fr::paen-#prefix
root_chlamydo,chlamydo-,chlamy-,Used to form taxonomic names and epithets for organisms that have a cloak- or mantle-like structure,grec,morpheme,o,Chlamydoconcha; Chlamydodera; Chlamydodon; Chlamydophorus; Chlamydosaurus,1.0,grc,,"From Ancient Greek χλαμύς (khlamús, “cloak, mantle”).",translingue < grec,morpheme,wiktionary:fr::chlamydo-#prefix
root_virus,-virus,,Used to form taxonomic names of genera of viruses,translingue,morpheme,,,1.0,mul,,"From New Latin vīrus (“virus”, literally “poison”).",translingue < NL.,morpheme,wiktionary:fr::-virus#suffix
root_odae,-odae,,One of the suffixes used to form taxonomic names of supertribes of plants,grec,"feminine,morpheme,plural",,,1.0,grc,,,translingue < grec,"feminine,morpheme,plural",wiktionary:fr::-odae#suffix
root_pus,-pus,,Used to form taxonomic names and epithets relating to feet or parts resembling feet.,grec,morpheme,,Octopus; octopus for; Platypus; platypus for; Rhizopus; a fungus; Xenopus; a frog,1.0,grc,,"From Ancient Greek πούς (poús, “foot”).",translingue < grec,morpheme,wiktionary:fr::-pus#suffix
root_thallo,thallo-,,"Relating to or consisting of undifferentiated plant tissue, as algae.; Lacking vascular tissue.",grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek θαλλός (thallós, “young shoot, twig”) thallus",translingue < NL. < grec,morpheme,wiktionary:fr::thallo-#prefix
